goal_id,employee_id,goal_title,weight_pct,achievement_pct,period
1,1001,Cut regretted attrition,20,100.0,2024
2,1001,Cut regretted attrition,40,93.0,2024
3,1001,Improve eNPS,40,97.0,2024
4,1002,Improve NPS,30,69.0,2024
5,1002,Reduce churn,20,75.0,2024
6,1003,Improve data quality,40,98.0,2024
7,1003,Improve data quality,25,92.0,2024
8,1003,Improve data quality,25,96.0,2024
9,1004,Increase upsell,30,90.0,2024
10,1004,Reduce churn,25,71.0,2024
11,1004,Improve NPS,40,107.0,2024
12,1004,Increase upsell,25,84.0,2024
13,1005,Improve win rate,20,78.0,2024
14,1005,Grow pipeline,25,97.0,2024
15,1005,Hit quarterly quota,25,47.0,2024
16,1005,Expand key accounts,30,102.0,2024
17,1006,Improve data quality,40,88.0,2024
18,1006,Improve data quality,30,107.0,2024
19,1007,Improve retention,20,95.0,2024
20,1007,Improve retention,50,89.0,2024
21,1007,Run discovery interviews,25,105.0,2024
22,1007,Improve retention,50,102.0,2024
23,1008,Reduce churn,25,88.0,2024
24,1008,Improve NPS,25,102.0,2024
25,1008,Improve NPS,30,108.0,2024
26,1008,Cut response time,40,84.0,2024
27,1009,Launch campaign,40,101.0,2024
28,1009,Launch campaign,20,83.0,2024
29,1010,Close books faster,30,103.0,2024
30,1010,Improve forecast accuracy,30,88.0,2024
31,1010,Improve forecast accuracy,40,97.0,2024
32,1010,Close books faster,25,88.0,2024
33,1011,Automate reporting pipeline,40,121.0,2024
34,1011,Automate reporting pipeline,40,101.0,2024
35,1012,Grow qualified leads,25,84.0,2024
36,1012,Grow organic traffic,30,58.0,2024
37,1012,Launch campaign,30,99.0,2024
38,1013,Improve win rate,40,62.0,2024
39,1013,Expand key accounts,20,91.0,2024
40,1013,Grow pipeline,20,73.0,2024
41,1013,Grow pipeline,50,63.0,2024
42,1014,Improve usability score,25,96.0,2024
43,1014,Build design system,20,96.0,2024
44,1015,Improve eNPS,20,90.0,2024
45,1015,Improve eNPS,40,69.0,2024
46,1015,Reduce time-to-hire,25,101.0,2024
47,1016,Ship roadmap features,50,68.0,2024
48,1016,Ship roadmap features,20,81.0,2024
49,1017,Cut response time,30,86.0,2024
50,1017,Increase upsell,40,101.0,2024
51,1017,Increase upsell,25,92.0,2024
