review_id,employee_id,review_period,review_score,reviewer_id
1,1001,2023-H1,3.2,5095.0
2,1001,2023-H2,3.8,5095.0
3,1001,2024-H1,3.5,5095.0
4,1001,2024-H2,3.6,5095.0
5,1002,2023-H1,3.2,3090.0
6,1002,2023-H2,3.6,3090.0
7,1002,2024-H1,3.1,3090.0
8,1002,2024-H2,2.5,3090.0
9,1004,2023-H1,4.2,2039.0
10,1004,2023-H2,4.0,2039.0
11,1004,2024-H1,3.6,2039.0
12,1005,2024-H1,3.2,2689.0
13,1005,2024-H2,4.0,2689.0
14,1006,2023-H1,3.9,2786.0
15,1006,2023-H2,3.8,2786.0
16,1006,2024-H1,4.3,2786.0
17,1006,2024-H2,3.4,2786.0
18,1007,2023-H1,4.0,1825.0
19,1007,2023-H2,4.0,1825.0
20,1007,2024-H1,4.9,1825.0
21,1007,2024-H2,4.4,1825.0
22,1008,2023-H1,4.5,2905.0
23,1008,2023-H2,3.5,2905.0
24,1008,2024-H1,3.1,2905.0
25,1008,2024-H2,4.8,2905.0
26,1009,2023-H1,4.0,1724.0
27,1009,2023-H2,3.7,1724.0
28,1009,2024-H1,3.3,1724.0
29,1009,2024-H2,3.6,1724.0
30,1010,2023-H1,3.8,5008.0
31,1010,2023-H2,4.1,5008.0
32,1010,2024-H1,3.6,5008.0
33,1010,2024-H2,4.2,5008.0
34,1011,2023-H2,3.0,3625.0
35,1011,2024-H1,3.4,3625.0
36,1011,2024-H2,4.0,3625.0
37,1012,2023-H1,4.4,5382.0
38,1012,2023-H2,3.9,5382.0
39,1012,2024-H1,3.8,5382.0
40,1012,2024-H2,3.3,5382.0
41,1013,2023-H1,2.4,2579.0
42,1013,2023-H2,3.5,2579.0
43,1013,2024-H1,2.5,2579.0
44,1013,2024-H2,2.3,2579.0
45,1014,2023-H1,3.4,5248.0
46,1014,2023-H2,3.9,5248.0
47,1014,2024-H1,3.6,5248.0
48,1014,2024-H2,3.6,5248.0
49,1015,2023-H1,3.5,1784.0
50,1015,2023-H2,3.6,1784.0
51,1015,2024-H1,3.5,1784.0
52,1015,2024-H2,3.2,1784.0
53,1016,2023-H1,1.5,4223.0
54,1016,2023-H2,1.7,4223.0
55,1016,2024-H1,1.4,4223.0
56,1016,2024-H2,1.7,4223.0
57,1017,2024-H1,3.8,2112.0
58,1017,2024-H2,3.3,2112.0
59,1018,2023-H1,2.4,3288.0
60,1018,2023-H2,2.3,3288.0
61,1018,2024-H1,3.2,3288.0
62,1018,2024-H2,2.9,3288.0
63,1019,2023-H1,4.1,3224.0
64,1019,2023-H2,4.3,3224.0
65,1019,2024-H1,4.2,3224.0
66,1019,2024-H2,3.3,3224.0
67,1020,2023-H1,3.5,
