salary_id,employee_id,effective_date,monthly_salary_idr,change_reason
1,1001,2015-04-13,10820000,Initial
2,1001,2016-11-24,11720000,Market Correction
3,1001,2018-07-09,13050000,Annual Raise
4,1001,2020-02-21,14140000,Adjustment
5,1001,2021-10-05,15610000,Annual Raise
6,1001,2023-05-20,16680000,Promotion
7,1002,2022-08-03,16330000,Initial
8,1003,2015-05-11,25570000,Initial
9,1004,2021-04-17,13420000,Initial
10,1004,2023-01-25,14590000,Annual Raise
11,1005,2024-01-29,30100000,Initial
12,1006,2018-02-12,16280000,Initial
13,1006,2019-11-02,17790000,Adjustment
14,1006,2021-07-23,19240000,Adjustment
15,1006,2023-04-13,20600000,Annual Raise
16,1007,2016-02-01,15240000,Initial
17,1007,2017-11-13,15990000,Market Correction
18,1007,2019-08-26,17070000,Market Correction
19,1007,2021-06-08,18240000,Market Correction
20,1007,2023-03-21,19990000,Adjustment
21,1008,2023-03-08,12020000,Initial
22,1009,2015-11-19,12960000,Initial
23,1009,2017-05-27,14470000,Promotion
24,1009,2018-12-03,16070000,Adjustment
25,1009,2020-06-10,17130000,Adjustment
26,1009,2021-12-17,18430000,Market Correction
27,1009,2023-06-25,19610000,Annual Raise
28,1010,2021-06-22,42640000,Initial
29,1010,2023-03-28,44500000,Adjustment
30,1011,2023-09-02,27250000,Initial
31,1012,2019-04-06,17490000,Initial
32,1012,2021-03-05,18380000,Promotion
33,1012,2023-02-02,20570000,Promotion
34,1013,2019-02-25,13570000,Initial
35,1013,2021-02-06,14240000,Market Correction
36,1013,2023-01-19,15600000,Market Correction
37,1014,2021-10-31,22040000,Initial
38,1014,2023-06-02,23260000,Promotion
39,1015,2020-03-08,15200000,Initial
40,1015,2021-10-15,16590000,Adjustment
41,1015,2023-05-25,18010000,Market Correction
42,1016,2022-09-05,53190000,Initial
43,1017,2024-01-11,30890000,Initial
44,1018,2017-05-20,17010000,Initial
45,1018,2018-11-27,17850000,Annual Raise
46,1018,2020-06-06,19600000,Annual Raise
47,1018,2021-12-14,21010000,Annual Raise
48,1018,2023-06-24,22610000,Adjustment
49,1019,2016-08-08,26990000,Initial
50,1019,2018-04-13,28350000,Promotion
51,1019,2019-12-18,31090000,Annual Raise
52,1019,2021-08-22,32520000,Adjustment
53,1019,2023-04-28,35670000,Market Correction
54,1020,2023-05-18,91010000,Initial
55,1021,2016-07-20,22220000,Initial
56,1021,2018-03-29,24280000,Promotion
57,1021,2019-12-06,26950000,Adjustment
58,1021,2021-08-15,28580000,Market Correction
59,1021,2023-04-24,31250000,Promotion
60,1022,2016-09-18,11860000,Initial
61,1022,2018-05-16,12700000,Adjustment
62,1022,2020-01-11,13260000,Promotion
63,1022,2021-09-08,14010000,Adjustment
64,1022,2023-05-06,14960000,Market Correction
65,1023,2019-04-26,27180000,Initial
66,1023,2021-03-18,29640000,Annual Raise
67,1023,2023-02-08,30890000,Market Correction
68,1024,2022-08-18,26570000,Initial
69,1025,2023-08-15,24570000,Initial
70,1026,2020-02-02,18510000,Initial
71,1026,2021-08-07,20610000,Market Correction
72,1026,2023-02-11,21450000,Promotion
73,1027,2020-09-10,8240000,Initial
74,1027,2022-11-06,8940000,Promotion
75,1028,2016-09-18,16000000,Initial
76,1028,2018-05-16,16990000,Adjustment
77,1028,2020-01-11,18480000,Annual Raise
78,1028,2021-09-08,19710000,Promotion
79,1028,2023-05-06,21770000,Market Correction
80,1029,2021-09-19,18590000,Initial
81,1030,2017-09-07,49940000,Initial
82,1030,2019-05-25,53560000,Promotion
83,1030,2021-02-09,56490000,Market Correction
84,1030,2022-10-28,61960000,Market Correction
85,1031,2024-02-25,43350000,Initial
86,1032,2017-12-21,21610000,Initial
87,1032,2019-09-24,23160000,Annual Raise
88,1032,2021-06-27,25830000,Market Correction
89,1032,2023-03-31,27900000,Market Correction
90,1033,2021-01-17,28380000,Initial
91,1033,2023-01-09,30130000,Market Correction
92,1034,2019-06-23,20360000,Initial
93,1034,2021-04-26,21450000,Adjustment
94,1034,2023-02-28,23590000,Market Correction
95,1035,2016-05-10,25240000,Initial
96,1035,2018-01-31,26950000,Promotion
97,1035,2019-10-25,28600000,Promotion
98,1035,2021-07-17,31590000,Adjustment
99,1035,2023-04-10,33680000,Annual Raise
100,1036,2021-08-07,38220000,Initial
101,1036,2023-04-20,40670000,Market Correction
102,1037,2017-07-26,13200000,Initial
103,1038,2018-02-14,20770000,Initial
104,1038,2019-11-04,22210000,Market Correction
105,1038,2021-07-24,23450000,Market Correction
106,1038,2023-04-13,25620000,Adjustment
107,1039,2017-09-22,55200000,Initial
108,1039,2019-07-18,58320000,Adjustment
109,1039,2021-05-13,62160000,Market Correction
110,1039,2023-03-08,69440000,Market Correction
111,1040,2022-05-23,39430000,Initial
112,1041,2022-07-21,39340000,Initial
113,1042,2023-03-02,12190000,Initial
114,1043,2021-01-05,22870000,Initial
115,1043,2023-01-03,25190000,Annual Raise
116,1044,2017-10-20,14730000,Initial
117,1044,2019-08-08,16440000,Promotion
118,1044,2021-05-27,17150000,Annual Raise
119,1044,2023-03-15,19130000,Promotion
120,1045,2015-07-27,15700000,Initial
121,1045,2017-02-20,17280000,Adjustment
122,1045,2018-09-17,18850000,Annual Raise
123,1045,2020-04-14,20250000,Annual Raise
124,1045,2021-11-09,21070000,Market Correction
125,1045,2023-06-06,22060000,Annual Raise
126,1046,2023-06-14,16960000,Initial
127,1047,2017-05-25,19400000,Initial
128,1047,2018-12-01,20510000,Adjustment
129,1047,2020-06-09,21930000,Market Correction
130,1047,2021-12-16,23230000,Adjustment
131,1047,2023-06-25,24480000,Promotion
132,1048,2019-05-19,39840000,Initial
133,1048,2021-04-02,44230000,Promotion
134,1048,2023-02-16,48480000,Promotion
135,1049,2016-09-26,12940000,Initial
136,1049,2018-05-22,13520000,Adjustment
137,1049,2020-01-16,14360000,Adjustment
138,1049,2021-09-11,15920000,Promotion
139,1049,2023-05-08,17080000,Adjustment
140,1050,2023-05-22,23190000,Initial
141,1051,2015-08-21,11040000,Initial
142,1051,2017-03-13,12130000,Annual Raise
143,1051,2018-10-04,12620000,Adjustment
144,1051,2020-04-26,13730000,Market Correction
145,1051,2021-11-17,14360000,Market Correction
146,1051,2023-06-10,15540000,Promotion
147,1052,2021-09-03,19940000,Initial
148,1052,2023-05-04,22100000,Annual Raise
149,1053,2021-06-29,26220000,Initial
150,1053,2023-04-01,27700000,Promotion
151,1054,2017-12-04,31540000,Initial
152,1054,2019-09-11,33000000,Annual Raise
153,1054,2021-06-18,34830000,Adjustment
154,1054,2023-03-26,37190000,Market Correction
155,1055,2019-06-10,26730000,Initial
156,1055,2021-06-29,29410000,Adjustment
157,1056,2015-02-08,11990000,Initial
158,1056,2016-10-02,12640000,Adjustment
159,1056,2018-05-28,13160000,Promotion
160,1056,2020-01-20,14480000,Adjustment
161,1056,2021-09-14,15520000,Adjustment
162,1056,2023-05-09,16280000,Promotion
163,1057,2021-01-11,12180000,Initial
164,1058,2024-11-10,20240000,Initial
165,1059,2021-11-10,11500000,Initial
166,1059,2023-06-07,12210000,Annual Raise
167,1060,2022-06-10,16510000,Initial
168,1061,2023-04-29,21770000,Initial
169,1062,2023-01-18,19440000,Initial
170,1063,2020-09-01,11610000,Initial
171,1063,2022-11-01,12120000,Market Correction
172,1064,2024-04-20,19770000,Initial
173,1065,2022-02-22,46800000,Initial
174,1066,2021-04-16,22070000,Initial
175,1067,2024-05-11,22110000,Initial
176,1068,2015-06-21,61390000,Initial
177,1068,2017-01-21,65820000,Adjustment
178,1068,2018-08-24,72110000,Adjustment
179,1068,2020-03-27,76270000,Annual Raise
180,1068,2021-10-28,85370000,Annual Raise
181,1068,2023-05-31,92860000,Annual Raise
182,1069,2022-08-25,40920000,Initial
183,1070,2021-12-17,13570000,Initial
184,1070,2023-06-25,14960000,Market Correction
185,1071,2024-11-19,15470000,Initial
186,1072,2023-10-10,25650000,Initial
187,1073,2017-12-28,11640000,Initial
188,1074,2017-06-30,30580000,Initial
189,1074,2018-12-30,32590000,Promotion
190,1074,2020-06-30,36360000,Annual Raise
191,1074,2021-12-31,38990000,Promotion
192,1074,2023-07-02,41120000,Market Correction
193,1075,2017-07-02,64580000,Initial
194,1076,2023-09-03,10930000,Initial
195,1077,2015-04-24,9670000,Initial
196,1077,2016-12-04,10290000,Promotion
197,1077,2018-07-17,10940000,Annual Raise
198,1077,2020-02-27,11550000,Market Correction
199,1077,2021-10-09,12230000,Promotion
200,1077,2023-05-22,12920000,Adjustment
201,1078,2015-06-06,40540000,Initial
202,1078,2017-03-20,42280000,Promotion
203,1078,2019-01-02,44560000,Adjustment
204,1079,2019-11-23,31210000,Initial
205,1079,2021-08-06,34110000,Adjustment
206,1079,2023-04-20,38180000,Promotion
207,1080,2017-11-09,17270000,Initial
208,1080,2019-08-26,18170000,Annual Raise
209,1080,2021-06-11,19890000,Adjustment
210,1081,2019-01-31,22980000,Initial
211,1081,2021-01-20,24250000,Market Correction
