salary_id,employee_id,effective_date,monthly_salary_idr,change_reason
1,1001,2015-04-13,10820000,Initial
2,1001,24-11-2016,11720000,Market Correction
3,1001,2018-07-09,13050000,Annual Raise
4,1001,21/02/2020,14140000,Adjustment
5,1001,05-10-2021,15610000,Annual Raise
6,1001,20/05/2023,16680000,Promotion
7,1002,03-08-2022,16330000,Initial
8,1003,11-05-2015,25570000,Initial
9,1004,17/04/2021,13420000,Initial
10,1004,25-01-2023,14590000,Annual Raise
11,1005,2024-01-29,30100000,Initial
12,1006,12/02/2018,16280000,
13,1006,02/11/2019,17790000,Adjustment
14,1006,23/07/2021,19240000,Adjustment
15,1006,13/04/2023,20600000,Annual Raise
16,1007,01-02-2016,15240000,Initial
17,1007,13-11-2017,15990000,Market Correction
18,1007,2019-08-26,17070000,
19,1007,08/06/2021,18240000,Market Correction
20,1007,21/03/2023,19990000,Adjustment
21,1008,2023-03-08,12020000,Initial
22,1009,2015-11-19,12960000,Initial
23,1009,2017-05-27,14470000,Promotion
24,1009,2018-12-03,16070000,Adjustment
25,1009,10-06-2020,17130000,Adjustment
26,1009,2021-12-17,18430000,Market Correction
27,1009,25/06/2023,19610000,Annual Raise
28,1010,2021-06-22,42640000,Initial
29,1010,2023-03-28,44500000,Adjustment
30,1011,2023-09-02,27250000,Initial
31,1012,2019-04-06,17490000,Initial
32,1012,2021-03-05,18380000,Promotion
33,1012,02-02-2023,20570000,Promotion
34,1013,25/02/2019,13570000,Initial
35,1013,2021-02-06,14240000,Market Correction
36,1013,2023-01-19,15600000,Market Correction
37,1014,2021-10-31,22040000,Initial
38,1014,2023-06-02,23260000,
39,1015,08/03/2020,15200000,Initial
40,1015,15/10/2021,16590000,Adjustment
41,1015,25-05-2023,18010000,Market Correction
42,1016,05/09/2022,53190000,Initial
43,1017,2024-01-11,30890000,Initial
44,1018,20-05-2017,17010000,Initial
45,1018,2018-11-27,17850000,Annual Raise
46,1018,2020-06-06,19600000,Annual Raise
47,1018,14/12/2021,21010000,Annual Raise
48,1018,24/06/2023,22610000,Adjustment
49,1019,2016-08-08,26990000,Initial
50,1019,13/04/2018,28350000,Promotion
51,1019,18/12/2019,31090000,Annual Raise
52,1019,22/08/2021,32520000,Adjustment
53,1019,28/04/2023,35670000,Market Correction
54,1020,2023-05-18,91010000,Initial
55,1021,2016-07-20,22220000,Initial
56,1021,29/03/2018,24280000,Promotion
57,1021,06-12-2019,26950000,Adjustment
58,1021,15-08-2021,28580000,Market Correction
59,1021,2023-04-24,31250000,Promotion
60,1022,18-09-2016,11860000,Initial
61,1022,2018-05-16,12700000,Adjustment
62,1022,11/01/2020,13260000,Promotion
63,1022,2021-09-08,14010000,Adjustment
64,1022,06/05/2023,14960000,Market Correction
65,1023,2019-04-26,27180000,Initial
66,1023,18/03/2021,29640000,Annual Raise
67,1023,2023-02-08,30890000,Market Correction
68,1024,2022-08-18,26570000,Initial
69,1025,15/08/2023,24570000,Initial
70,1026,02/02/2020,18510000,Initial
71,1026,07/08/2021,20610000,Market Correction
72,1026,2023-02-11,21450000,Promotion
73,1027,10-09-2020,8240000,Initial
74,1027,2022-11-06,8940000,Promotion
75,1028,18/09/2016,16000000,Initial
76,1028,16-05-2018,16990000,Adjustment
77,1028,11-01-2020,18480000,Annual Raise
78,1028,08/09/2021,19710000,Promotion
79,1028,06/05/2023,21770000,Market Correction
80,1029,2021-09-19,18590000,Initial
81,1030,07/09/2017,49940000,Initial
82,1030,25/05/2019,53560000,Promotion
83,1030,2021-02-09,56490000,Market Correction
84,1030,28-10-2022,61960000,
85,1031,25-02-2024,43350000,Initial
86,1032,2017-12-21,21610000,Initial
87,1032,24/09/2019,23160000,Annual Raise
88,1032,27-06-2021,25830000,Market Correction
89,1032,31/03/2023,27900000,Market Correction
90,1033,17-01-2021,28380000,Initial
91,1033,09-01-2023,30130000,Market Correction
92,1034,23/06/2019,20360000,Initial
93,1034,26-04-2021,21450000,Adjustment
94,1034,28/02/2023,23590000,Market Correction
95,1035,10-05-2016,25240000,
96,1035,2018-01-31,26950000,Promotion
97,1035,25-10-2019,28600000,Promotion
98,1035,17/07/2021,31590000,Adjustment
99,1035,10/04/2023,33680000,Annual Raise
100,1036,07-08-2021,38220000,Initial
101,1036,20/04/2023,40670000,Market Correction
102,1037,26/07/2017,13200000,Initial
103,1038,14/02/2018,20770000,Initial
104,1038,04-11-2019,22210000,Market Correction
105,1038,24-07-2021,23450000,Market Correction
106,1038,13/04/2023,25620000,Adjustment
107,1039,22/09/2017,55200000,Initial
108,1039,18-07-2019,58320000,Adjustment
109,1039,13-05-2021,62160000,Market Correction
110,1039,08-03-2023,69440000,Market Correction
111,1040,23-05-2022,39430000,Initial
112,1041,21/07/2022,39340000,Initial
113,1042,2023-03-02,12190000,Initial
114,1043,2021-01-05,22870000,Initial
115,1043,2023-01-03,25190000,Annual Raise
116,1044,2017-10-20,14730000,Initial
117,1044,08-08-2019,16440000,Promotion
118,1044,27-05-2021,17150000,Annual Raise
119,1044,15/03/2023,19130000,Promotion
120,1045,2015-07-27,15700000,Initial
121,1045,2017-02-20,17280000,
122,1045,17/09/2018,18850000,Annual Raise
123,1045,2020-04-14,20250000,Annual Raise
124,1045,2021-11-09,21070000,Market Correction
125,1045,06/06/2023,22060000,Annual Raise
126,1046,14-06-2023,16960000,Initial
127,1047,25-05-2017,19400000,Initial
128,1047,2018-12-01,20510000,Adjustment
129,1047,09/06/2020,21930000,Market Correction
130,1047,16-12-2021,23230000,Adjustment
131,1047,2023-06-25,24480000,Promotion
132,1048,2019-05-19,39840000,Initial
133,1048,02-04-2021,44230000,Promotion
134,1048,2023-02-16,48480000,Promotion
135,1049,26-09-2016,12940000,Initial
136,1049,22/05/2018,13520000,Adjustment
137,1049,16-01-2020,14360000,Adjustment
138,1049,11/09/2021,15920000,Promotion
139,1049,08/05/2023,17080000,Adjustment
140,1050,22-05-2023,23190000,Initial
141,1051,21/08/2015,11040000,Initial
142,1051,13-03-2017,12130000,Annual Raise
